customer_name,email,phone_number,order_id,product,quantity,price,order_date,product_id,product_name,category,price-2,stock_quantity,rating,order_id-2,price_per_unit,total_price,order_date-2
Michael Martinez,michael_garcia@gmail.com,493157943,ORD1000,Headphones,8,72.71,09-06-2021,P001,smartwatch,Accessories,900.92,88,4.9,406,183.5,1242.45,29-08-2023
John Jones,katie_smith@hotmail.com,928804956,ORD1001,Laptop,10,496.78,31-07-2022,P002,Headphone,Accessories,1130.89,52,2.6,170,1279.66,1140.03,19-07-2023
John Miller,sarah_davis@outlook.com,993914436,ORD1002,Tablet,3,327.92,10-12-2021,P003,Smartphone,Accessories,675.91,41,4.5,NULL,NULL,NULL,NULL
Emily Williams,emily_miller@gmail.com,923544425,ORD1003,Smartphone,9,930.07,04-11-2020,P004,Headphone,Electronics,234.99,99,4.1,413,413.79,1176.72,30-12-2023
Jane Brown,jane_jones@yahoo.com,989624047,ORD1004,Tablet,5,395.72,30-06-2020,P005,Headphone,Accessories,461.48,62,3.3,169,516.42,1183.84,29-06-2023
Sarah Garcia,john_wilson@outlook.com,977565170,ORD1005,Headphones,8,757.94,11-06-2021,h006,Tablet,Electronics,576.47,26,4,NULL,NULL,NULL,NULL
Sarah Williams,daniel_williams@yahoo.com,942674760,ORD1006,Laptop,9,689.85,27-11-2023,P007,Smartphone,Electronics,986.58,37,4.5,99,1380.35,538.95,03-07-2023
Jane Williams,jane_jones@outlook.com,951070869,ORD1007,Monitor,7,533.87,01-08-2023,P008,Smartphone,Electronics,877.63,59,2.6,285,434.72,545.76,08-05-2023
Jane Williams,jane_jones@outlook.com,951070869,ORD1007,Monitor,7,533.87,01-08-2023,P008,Smartphone,Electronics,877.63,59,2.6,250,129.22,1219.66,01-11-2023
Jane Davis,sarah_martinez@hotmail.com,995055842,ORD1008,Headphones,2,809.09,06-08-2023,P009,Smartphone,Electronics,566.34,6,2.3,NULL,NULL,NULL,NULL
John Davis,sarah_miller@yahoo.com,999212650,ORD1009,Laptop,10,307.85,24-12-2023,P010,Headphone,Accessories,1480.45,4,3.7,NULL,NULL,NULL,NULL
Jane Davis,katie_miller@yahoo.com,904124992,ORD1010,Tablet,9,772.83,20-06-2023,P011,Smartwatch,Accessories,928.37,44,4.2,NULL,NULL,NULL,NULL
Alex Brown,alex_johnson@yahoo.com,906007109,ORD1011,Laptop,1,674.87,11-09-2021,h012,Smartphone,Electronics,393.98,57,4,300,1057.16,292.67,03-09-2023
Sarah Martinez,john_jones@hotmail.com,957323462,ORD1012,Smartphone,9,648.17,17-06-2023,P013,Headphone,Electronics,197.58,30,4.2,NULL,NULL,NULL,NULL
Jane Johnson,daniel_davis@hotmail.com,907799578,ORD1013,Monitor,2,309.72,30-06-2020,P014,Tablet,Electronics,271.65,22,2.7,NULL,NULL,NULL,NULL
David Garcia,sarah_garcia@gmail.com,923611973,ORD1014,Headphones,5,782.21,02-11-2023,P015,Smartwatch,Accessories,406.64,41,4.3,NULL,NULL,NULL,NULL
Katie Davis,daniel_martinez@outlook.com,946305229,ORD1015,Laptop,9,165.54,13-02-2022,P016,Tablet,Electronics,282.99,9,1.5,304,1220.25,990.53,20-06-2023
